ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,ip_proto,label
1558342575.320023,CvM5CP1EAsdpqYnZn8,192.168.0.13,9020,192.168.0.16,49668,tcp,,,,,OTH,T,T,0,RT,1,1440,0,0,,6,0
1558342575.952551,C7N5Q3RzzgCaJIq21,192.168.0.13,169,248.250.9.234,40795,tcp,,,,,OTH,T,T,0,I,1,1440,0,0,,6,0
1558342581.677407,CVSx2esOIE7lrNBN3,192.168.0.24,51846,223.39.118.176,443,tcp,,0.046955,0.0,37.0,SHR,T,F,0,^dfA,2,80,2,117,,6,0
1558342588.301192,CuDWbx3WsN6jGHsm85,192.168.0.24,42038,211.188.147.64,443,tcp,ssl,0.312335,218222.0,7058.0,RSTO,T,F,2920,ShADadtTTGfR,182,251802,91,13020,,6,0
1558342592.703231,CS7JMu1KQbPtcyeuye,192.168.0.24,58021,223.39.118.176,443,tcp,,,,,RSTRH,T,F,0,^r,0,0,1,40,,6,0
1558342592.924077,CoipgG3aHm8Oh8xUog,192.168.0.24,53216,223.39.123.191,443,tcp,,0.005964,37.0,0.0,RSTR,T,F,0,DFr,2,117,1,40,,6,0
1558342592.928961,CTuRPe3i26q9O3FDk,192.168.0.24,51165,223.39.123.191,443,tcp,,0.007335,37.0,0.0,RSTR,T,F,0,DFr,2,117,1,40,,6,0
1558342592.990521,CFj6xC3QmnqCkMQmCf,192.168.0.24,54731,223.39.118.176,443,tcp,,,,,RSTRH,T,F,0,^r,0,0,1,40,,6,0
1558342592.991772,CCQIHC2pzzsWSIob1b,192.168.0.24,40089,223.39.118.176,443,tcp,,,,,RSTRH,T,F,0,^r,0,0,1,40,,6,0
1558342592.991912,CG78Q641i34eaFiEGh,192.168.0.24,33157,223.39.118.176,443,tcp,,,,,RSTRH,T,F,0,^r,0,0,1,40,,6,0
1558342588.287214,CUDYix0tvwVfI7QX,192.168.0.24,37687,163.152.1.1,53,udp,dns,0.00147,37.0,206.0,SF,T,F,0,Dd,1,65,1,234,,17,0
1558342594.886535,CQu0nZ1TujMxvBmWPd,192.168.0.24,51846,223.39.118.176,443,tcp,,,,,RSTRH,T,F,0,^r,0,0,1,40,,6,0
1558342592.684566,CosMfB25v3aCVKRhN2,192.168.0.24,58382,223.39.123.193,8100,tcp,,3.541442,11111.0,1121.0,SF,T,F,0,ShADadTFf,34,18901,29,2285,,6,0
1558342599.26293,CSjNLC2bbVOGQESwU7,192.168.0.13,9020,192.168.0.16,34130,tcp,,,,,OTH,T,T,0,IT,1,1440,0,0,,6,0
1558342597.38728,CPZEwD1hAHNDwXlhB4,192.168.0.24,54218,223.39.123.245,7000,tcp,,1.971904,1777.0,229206.0,SF,T,F,38,ShADadttGFf,148,7679,224,266442,,6,0
1558342602.160507,CFsG351HZK7lKHrcQ8,192.168.0.13,9020,192.168.0.16,49764,tcp,,,,,OTH,T,T,0,RT,1,1440,0,0,,6,0
1558342597.049404,CSAXVQ2eXsGXowzYz3,192.168.0.13,5353,224.0.0.251,5353,udp,dns,13.053608,665.0,0.0,S0,T,T,0,D,19,1197,0,0,,17,0
1558342630.9812,CFxetv4KtlVfbSQFr2,192.168.0.16,49788,192.168.0.13,9010,tcp,,0.040838,336.0,206.0,RSTO,T,T,0,ShADTadftR,11,1232,14,1774,,6,0
1558342642.665073,CxioK7Zh5VgiOvN5h,192.168.0.24,50966,104.70.122.58,443,tcp,ssl,1.120471,1682.0,423802.0,S1,T,F,0,ShADadTtt,207,12588,328,478251,,6,0
1558342637.160463,CACrp1s6FL8G7lmT7,192.168.0.13,5353,224.0.0.251,5353,udp,dns,0.119726,175.0,0.0,S0,T,T,0,D,5,315,0,0,,17,0
1558342642.714332,CVV2cuCbRXcnQuksa,192.168.0.24,38073,223.39.123.245,7000,tcp,,0.342446,443.0,23036.0,SF,T,F,0,ShADadtTFf,26,1541,29,25660,,6,0
1558342643.788176,CaRdHeXHGfMlzn02e,104.70.122.58,443,192.168.0.24,50966,tcp,,0.020705,2144249306.0,0.0,OTH,F,T,0,QTDa,34,50383,2,104,,6,0
1558342643.990632,CgWaiG2Jjw1E4Q42Yf,192.168.0.24,51063,172.217.25.110,80,tcp,,0.046886,0.0,0.0,SHR,T,F,0,^fA,1,52,1,52,,6,0
1558342642.647798,CbeSffoUoLdP4W2a7,192.168.0.24,64011,163.152.1.1,53,udp,dns,0.01427,48.0,437.0,SF,T,F,0,Dd,1,76,1,465,,17,0
1558342651.340696,CCwVq63VwDWX7aa5k,192.168.0.24,48416,223.39.118.149,443,tcp,,,,,OTH,T,F,0,R,1,52,0,0,,6,0
1558342651.34817,CgpTJe2cRvk5epm8,192.168.0.24,56386,223.39.118.149,443,tcp,,,,,OTH,T,F,0,R,1,52,0,0,,6,0
1558342609.48801,CobO3m4D1feuSlGVna,192.168.0.24,35253,223.39.118.149,443,tcp,ssl,41.894106,1108.0,512.0,RSTO,T,F,0,ShADadfR,8,1532,8,936,,6,0
1558342609.776013,CKGta31LUtNaxvXDnb,192.168.0.24,53761,223.39.118.149,443,tcp,ssl,41.637597,1108.0,512.0,RSTO,T,F,0,ShADadfR,8,1532,8,936,,6,0
1558342654.319412,CYLcey2krlsjzBvUS2,192.168.0.16,49790,192.168.0.13,9010,tcp,,0.054275,192.0,149.0,RSTO,T,T,0,ShADTadtfR,14,1076,12,938,,6,0
1558342631.023754,CQZcJx4OeG6Wwi7Vah,192.168.0.16,49789,192.168.0.13,9020,tcp,,23.360259,100101.0,115314.0,RSTO,T,T,869,ShADTadttTtTgGR,1394,273767,1327,329964,,6,0
1558342595.61093,CUQltP1axddZ28K9q5,192.168.0.24,53692,223.39.118.176,443,tcp,ssl,57.906084,949.0,7122.0,RSTR,T,F,0,ShADadftr,14,1529,15,7763,,6,0
1558342590.365207,CRoF0R1SU8icG4u5zl,192.168.0.24,38612,223.39.118.176,443,tcp,ssl,62.911557,949.0,7122.0,RSTR,T,F,0,ShADadfr,14,1529,13,7646,,6,0
1558342615.016525,Ccc4IUZKfhNMazfa2,192.168.0.24,37092,223.39.118.176,443,tcp,ssl,39.396196,949.0,7122.0,RSTR,T,F,0,ShADadtfr,14,1529,14,9146,,6,0
1558342584.754451,CIjEB84jJ4glNXBxba,192.168.0.24,33782,223.39.118.176,443,tcp,ssl,68.281889,949.0,7122.0,RSTR,T,F,0,ShADadfr,14,1529,13,7646,,6,0
1558342584.75486,CPmsY33JJMxHaHQFC5,192.168.0.24,53177,223.39.118.176,443,tcp,ssl,68.247653,949.0,7122.0,RSTR,T,F,0,ShADadfr,14,1529,13,7646,,6,0
1558342584.941491,CZjACA4BZFBsg8xrJh,192.168.0.24,47527,223.39.118.176,443,tcp,ssl,68.069182,949.0,7122.0,RSTR,T,F,0,ShADadfr,14,1529,13,7646,,6,0
1558342609.579143,CNuP8j3tb98LNeZBPd,192.168.0.24,35410,223.39.118.176,443,tcp,ssl,44.586992,949.0,7122.0,RSTR,T,F,0,ShADadtfr,14,1529,17,13646,,6,0
1558342609.551888,C3m6ux3l0R5znXPo58,192.168.0.24,38322,223.39.118.176,443,tcp,ssl,44.61619,949.0,7106.0,RSTR,T,F,2920,ShADadgfr,14,1529,11,4630,,6,0
1558342609.825604,C7XnJknsf5k9B2yw6,192.168.0.24,34007,223.39.118.176,443,tcp,ssl,44.34924,949.0,7122.0,RSTR,T,F,0,ShADadfr,14,1529,14,7686,,6,0
1558342609.894126,CeLzHQ2ApxmTM4Vrj7,192.168.0.24,60498,223.39.118.176,443,tcp,ssl,44.27209,949.0,7122.0,RSTR,T,F,0,ShADadtfr,16,1609,14,9146,,6,0
1558342628.8718,C7eWkEyQfBsLOKtU7,192.168.0.24,37714,223.39.118.176,443,tcp,ssl,26.533302,949.0,7122.0,RSTR,T,F,405,ShADadttgfr,14,1529,22,20429,,6,0
1558342668.600158,CGjm7u2heLGDqhz0Qe,192.168.0.13,65033,192.168.0.240,9231,tcp,,,,,OTH,T,T,0,,0,0,0,0,,6,0
1558342574.859557,CBr5U31DDZQoDjBT5f,192.168.0.13,9020,192.168.0.16,49784,tcp,,105.413098,547618994.0,321782784.0,OTH,T,T,0,DTaTTTQTAI,30708,36790375,13518,703212,,6,0
1558342680.274513,CBAlHN3ZP1pTB0yj6f,192.168.0.13,9020,192.168.0.16,49784,tcp,,4.990728,586.0,0.0,S0,T,T,0,STDaTTT,1653,2017510,612,31872,,6,0
1558342698.029063,CHxVBA3C0mHUyeqFre,192.168.0.13,51248,192.168.0.1,57592,tcp,,3.000301,0.0,0.0,S0,T,T,0,S,3,180,0,0,,6,0
1558342647.747236,CYFANi2Pjn3qkKWOxc,97.186.0.16,0,192.168.0.13,0,unknown_transport,,,,,OTH,F,T,0,,1,52,0,0,,136,0
1558342705.293014,CIxXHn4D8A6TxiMFu8,192.168.0.24,37678,223.39.118.176,443,tcp,,0.001345,37.0,0.0,OTH,T,F,0,DR,2,117,0,0,,6,0
1558342642.95604,CjGEGr43TOD37SBoVe,192.168.0.24,41716,223.39.118.176,443,tcp,ssl,70.214063,949.0,7123.0,RSTR,T,F,38,ShADadgr,14,1529,11,7529,,6,0
1558342651.592061,CvitqU2p7B8Zujshya,192.168.0.24,38127,223.39.118.176,443,tcp,ssl,62.182828,949.0,7106.0,RSTR,T,F,0,ShADadTfr,16,2931,13,7630,,6,0
1558342651.153337,Cf2aia1fppeyffYmk8,192.168.0.24,38188,223.39.118.176,443,tcp,ssl,62.621391,949.0,7122.0,RSTR,T,F,0,ShADadfr,14,1529,13,7646,,6,0
1558342657.727472,Cs2u7022EcdnQzZXp1,192.168.0.24,33685,223.39.118.176,443,tcp,ssl,56.051916,949.0,7122.0,RSTR,T,F,0,ShADadfr,14,1529,13,7646,,6,0
1558342651.317649,CGGiHK3zphBHFHrdz5,192.168.0.24,47361,223.39.118.176,443,tcp,ssl,62.457314,949.0,7122.0,RSTR,T,F,6106,ShADadgTftr,13,2811,9,1417,,6,0
1558342646.044594,CHynZs2sTwxOMlZZY6,192.168.0.24,43457,223.39.118.176,443,tcp,ssl,67.202775,821.0,7122.0,RSTR,T,F,0,ShDadAftr,13,1361,15,7763,,6,0
1558342651.98715,CLdSvh4HpAnkppj50j,192.168.0.24,56401,223.39.118.176,443,tcp,ssl,61.787959,949.0,7122.0,RSTR,T,F,0,ShADadtfr,14,1529,18,14260,,6,0
1558342652.401591,C3mc6BcLoQMQ6zEK4,192.168.0.24,58102,223.39.118.176,443,tcp,ssl,61.373591,949.0,7122.0,RSTR,T,F,0,ShADadtfr,14,1529,18,14260,,6,0
1558342652.019127,CK9nBBYYsbjTShTG2,192.168.0.24,35104,223.39.118.176,443,tcp,ssl,61.755909,949.0,7122.0,RSTR,T,F,0,ShADadtfr,14,1529,15,9760,,6,0
1558342652.579418,CTI50MORX37XJsAS,192.168.0.24,50866,223.39.118.176,443,tcp,ssl,61.19591,949.0,7122.0,RSTR,T,F,0,ShADadtfr,14,1529,16,12146,,6,0
1558342652.478108,CiPsmAkcrZSpeXYR1,192.168.0.24,56625,223.39.118.176,443,tcp,ssl,61.297147,949.0,7122.0,RSTR,T,F,0,ShADadtfr,14,1529,18,14260,,6,0
1558342718.332505,C2FHaI2sZRTiRhG2Da,192.168.0.13,5353,224.0.0.251,5353,udp,dns,0.050467,175.0,0.0,S0,T,T,0,D,5,315,0,0,,17,0
1558342696.015179,CvXDcl3id849iSEZh5,192.168.0.1,1900,192.168.0.13,49415,udp,,,,,S0,T,T,0,D,1,431,0,0,,17,0
1558342696.012434,CvCAtG1txDffXVfIO9,192.168.0.13,49415,239.255.255.250,1900,udp,,0.25073,685.0,0.0,S0,T,T,0,D,5,825,0,0,,17,0
1558342805.132668,CyRT194fvIGtszTOcl,192.168.0.24,36189,8.8.8.8,53,tcp,,0.078383,0.0,0.0,SF,T,F,0,ShAFf,4,216,2,112,,6,0
1558342806.815935,CVJaPk33mQ7GVXKQa8,192.168.0.24,58383,223.39.123.193,8100,tcp,,3.552467,13047.0,1229.0,SF,T,F,752,ShADadTGFf,38,22961,28,2353,,6,0
1558342810.857008,Cepkfx23urqZXHQhTa,192.168.0.24,47192,223.39.123.194,8289,tcp,,,,,OTH,T,F,0,,0,0,0,0,,6,0
1558342814.208759,Criq6s214brA17VFH4,192.168.0.24,52699,223.39.123.245,7000,tcp,,1.603357,697.0,62046.0,SF,T,F,0,ShADTadtFf,63,3339,60,65566,,6,0
1558342817.36567,CqntxX3NFngUymttWd,192.168.0.24,53787,223.39.118.176,443,tcp,,0.003644,37.0,0.0,OTH,T,F,0,DR,2,117,0,0,,6,0
1558342814.176175,CfuPOI1UqpgSn553W3,192.168.0.24,32907,163.152.1.1,53,udp,dns,0.001537,35.0,173.0,SF,T,F,0,Dd,1,63,1,201,,17,0
1558342824.268765,CwXUxH2WWZtfQ30Hi,192.168.0.13,51249,192.168.0.1,57592,tcp,,3.000429,0.0,0.0,S0,T,T,0,S,3,180,0,0,,6,0
1558342831.690873,CpYh3L3ZUqE8WLBeia,192.168.0.16,49791,192.168.0.13,9010,tcp,,0.056971,192.0,149.0,RSTO,T,T,0,ShADTadftR,20,2192,16,1742,,6,0
1558342685.330117,CXTqFv2wvubPe5hk5d,192.168.0.13,9020,192.168.0.16,49784,tcp,,146.457095,15715677.0,4195327.0,SF,T,T,0,DTaTTTFIHFQfAF,41365,48503405,17834,927716,,6,0
1558342788.315009,CzH00f3ouKabo9NYM3,192.168.0.24,33760,223.39.123.191,443,tcp,ssl,46.494106,1065.0,7090.0,RSTR,T,F,0,ShADadfr,13,1605,14,7654,,6,0
1558342807.083467,Cc9AT91JVOc6HeQAPc,192.168.0.24,55291,223.39.118.176,443,tcp,ssl,28.649724,949.0,7122.0,RSTR,T,F,0,ShADadTfr,15,1703,13,7646,,6,0
1558342806.982283,CCe0zL1fnpYb4l1L9d,192.168.0.24,45638,223.39.118.176,443,tcp,ssl,28.750754,949.0,7122.0,RSTR,T,F,0,ShADadftr,14,1529,15,7763,,6,0
1558342807.047575,C5SCvW2v1hN3mvcz3e,192.168.0.24,51718,223.39.123.191,443,tcp,ssl,28.685542,1011.0,1150.0,RSTR,T,F,0,ShADadfr,12,1511,12,1634,,6,0
1558342814.538113,CfhJhq2F08NgXIOP05,192.168.0.24,50059,223.39.118.176,443,tcp,ssl,21.501118,949.0,7122.0,RSTR,T,F,0,ShADadfr,14,1529,13,7646,,6,0
1558342844.551874,C0TUKkwwLwNiSTxVa,192.168.0.16,49792,192.168.0.13,9010,tcp,,0.037903,448.0,280.0,RSTO,T,T,0,ShADTadtRf,12,1496,8,992,,6,0
1558342856.705674,CBMdI93BLEa3Sbewp6,192.168.0.16,49794,192.168.0.13,9010,tcp,,0.049932,192.0,149.0,RSTO,T,T,0,ShADTadftR,12,1008,8,730,,6,0
1558342844.589566,CB7Eqf2b47nb4tYjx,192.168.0.16,49793,192.168.0.13,9020,tcp,,12.259423,133607334.0,1289851.0,RSTR,T,T,30,ShADTadttttgiFf,1624,85048,3133,3675936,,6,0
1558342857.413324,CpOtvy1N3IKfC6ymn5,192.168.0.16,49795,192.168.0.13,9010,tcp,,0.040208,448.0,280.0,RSTO,T,T,0,ShADTadftR,12,1520,8,992,,6,0
1558342864.81129,C6jGkh1Ko1LCjeWJp4,192.168.0.13,9064,192.168.0.16,44665,tcp,,,,,S0,T,T,0,ST,1,1440,0,0,,6,0
1558342865.291394,CRSqxW1CbEbOURBeIc,192.168.0.16,49797,192.168.0.13,9010,tcp,,0.049898,192.0,149.0,RSTO,T,T,0,ShADTadftR,12,1008,8,730,,6,0
1558342857.454143,CqoXkn3Wi8mgtrTcD,192.168.0.16,49796,192.168.0.13,9020,tcp,,8.061111,192.0,834235.0,RSTR,T,T,1840,ShADTadttttgiFf,1062,55932,2146,2529004,,6,0
1558342866.420176,CsVKgBM4JyYD4HOy1,192.168.0.16,49798,192.168.0.13,9010,tcp,,0.041284,448.0,280.0,RSTO,T,T,0,ShADTadftR,12,1520,11,1708,,6,0
1558342864.165744,CEIJ981BaSuXhO2g22,192.168.0.24,37747,223.39.118.176,443,tcp,ssl,10.647302,949.0,7106.0,S3,T,F,0,ShADadf,14,1529,12,7590,,6,0
1558342822.737009,C1EmqG2V81vye992lf,192.168.0.24,53354,223.39.123.191,443,tcp,ssl,5.354076,1065.0,7090.0,S3,T,F,0,ShADadtf,13,1605,17,12188,,6,0
1558342822.257629,C62gTQ3jtsW6hEArtj,192.168.0.1,1900,192.168.0.13,33532,udp,,,,,S0,T,T,0,D,1,431,0,0,,17,0
1558342874.841227,C1l8f03EB8OmMuuHRi,192.168.0.24,50966,104.70.172.53,443,tcp,,,,,OTH,T,F,0,^d,0,0,1,1500,,6,0
1558342816.59148,CYxfmm2jyuTKxJym95,192.168.0.13,41759,192.168.0.16,22389,tcp,,,,,OTH,T,T,0,D,1,1440,0,0,,6,0
1558342814.181775,CtXq9r2chejfOiZro6,192.168.0.24,57678,222.239.240.107,443,tcp,ssl,2.440479,657.0,984045.0,S1,T,F,65684,ShADadtggt,132,7529,722,1035122,,6,0
1558342801.238648,Co5QKb2CyS1ch28t6f,192.168.0.13,9020,192.168.0.48,49784,tcp,,,,,OTH,T,T,0,D,1,1408,0,0,,6,0
1558342796.127818,CSrCn6NzzTPJCvDfb,192.168.0.13,9020,192.168.0.24,49784,tcp,,,,,OTH,T,T,0,D,1,1440,0,0,,6,0
1558342874.842214,CBw9bZ3Jyiz6e9Gdb5,192.168.0.24,51014,104.70.122.58,443,tcp,,,,,OTH,T,F,0,^d,0,0,1,1500,,6,0
1558342764.060191,Crsyai4hbcQQcA20d3,192.168.0.13,41910,192.168.0.16,15201,tcp,,,,,OTH,T,T,0,D,1,1440,0,0,,6,0
1558342724.445877,COuS9M2CGMLM8dvUCa,192.168.0.13,13030,192.168.84.166,51733,tcp,,,,,OTH,T,T,0,D,1,1440,0,0,,6,0
1558342705.880922,CNSwWNdzoT2FjIwDj,192.168.0.13,9020,192.168.0.16,49832,tcp,,,,,OTH,T,T,0,D,1,1440,0,0,,6,0
1558342860.759853,CuJPAo3qIndIdawNQb,192.168.0.24,54716,223.39.123.191,443,tcp,,5.732685,67096.0,7090.0,S3,T,F,0,^hadADTtf,67,82916,63,11018,,6,0
1558342681.569615,CuLDvO33yaFUHiKWBc,192.168.0.13,25404,192.168.0.16,49784,tcp,,,,,OTH,T,T,0,D,1,528,0,0,,6,0
1558342670.67009,CbP9tI1Tr3eDwQrm1b,192.168.0.13,58163,192.168.0.16,59513,tcp,,,,,OTH,T,T,0,D,1,1440,0,0,,6,0
1558342663.674617,Ca32991S7m7W3hiVra,192.168.0.13,48700,192.168.128.233,49784,tcp,,,,,OTH,T,T,0,D,1,1396,0,0,,6,0
1558342651.770226,CmeAwe3BQVDjC20Qtk,192.168.0.24,51762,223.39.118.149,443,tcp,ssl,0.146341,1108.0,512.0,S3,T,F,0,ShADadf,7,1480,8,936,,6,0
1558342651.073762,CzE6Ud3xuJ1hBR0puj,192.168.0.24,46124,223.39.118.149,443,tcp,ssl,0.410913,1108.0,512.0,S3,T,F,0,ShADadf,7,1480,8,936,,6,0
1558342649.022374,CXHjpisUOdZpgJ9Z1,192.168.0.13,49420,248.250.217.216,49789,tcp,,,,,OTH,T,T,0,D,1,293,0,0,,6,0
1558342643.794214,CTsfl7fNBimuUKpQd,192.168.0.24,51025,104.70.122.58,443,tcp,,,,,OTH,T,F,0,^d,0,0,1,1500,,6,0
1558342643.789307,CwRddC27VTUws2pZIe,192.168.0.24,50985,104.70.122.58,443,tcp,,,,,OTH,T,F,0,^d,0,0,1,1500,,6,0
1558342642.510619,CGtZ491YOYRRApbmcg,192.168.0.13,9064,192.168.0.16,62584,tcp,,,,,OTH,T,T,0,D,1,1440,0,0,,6,0
1558342863.973596,Cl69PT12SzHSOUrvm9,192.168.0.24,54442,223.39.118.176,443,tcp,ssl,10.810019,949.0,7122.0,S3,T,F,134,ShADadtGf,13,1355,20,14951,,6,0
1558342640.500393,CRzJwf2zPZaqzFRhkh,192.168.0.13,20632,192.168.224.23,53368,tcp,,,,,OTH,T,T,0,D,1,82,0,0,,6,0
1558342611.485555,CBYVVUtpZUyNVUXK7,192.168.0.24,36038,223.167.64.130,443,tcp,,,,,OTH,T,F,0,A,1,40,0,0,,6,0
1558342652.180529,CxqSnI2t4IFajz1ruf,192.168.0.24,59073,223.39.118.149,443,tcp,ssl,0.145821,1108.0,512.0,S3,T,F,0,ShADadf,7,1480,8,936,,6,0
1558342874.841561,CZ3aPG28QVwHnFdo0k,94.70.122.58,0,192.168.0.24,0,unknown_transport,,,,,OTH,F,T,0,,1,1500,0,0,,119,0
1558342869.83637,C5ln0S2LFIma9X7C0c,192.168.0.24,55017,223.39.118.176,443,tcp,ssl,0.228428,949.0,7085.0,S1,T,F,0,ShADadtt,16,1609,30,33945,,6,0
1558342822.252026,CWUGBvVKhORtX3Sq5,192.168.0.13,33532,239.255.255.250,1900,udp,,0.270298,685.0,0.0,S0,T,T,0,D,5,825,0,0,,17,0
1558342587.172354,CchCnHHNkCpMxL3Ka,192.168.0.13,0,239.255.255.250,0,unknown_transport,,270.356706,0.0,0.0,OTH,T,T,0,,10,320,0,0,,2,0
1558342651.454529,CeRvGTyDuXR71pDik,192.168.0.24,54374,223.39.118.149,443,tcp,ssl,0.150525,1108.0,512.0,S3,T,F,0,ShADadf,7,1480,8,936,,6,0
1558342646.181865,Cx3ewR1g7j6CtwGwcf,192.168.0.24,39486,223.39.123.191,443,tcp,ssl,5.171465,1065.0,7090.0,S3,T,F,468,ShADadgf,13,1605,11,7066,,6,0
1558342587.943534,CJvCq64CRrBajFnWFi,192.168.0.13,8,192.168.0.1,0,icmp,,285.768084,1120.0,1120.0,OTH,T,T,0,,20,1680,20,1680,,1,0
1558342620.74836,Cwc7xOnfSMubA3lc9,192.168.0.24,57210,223.39.123.191,443,tcp,ssl,5.795333,67174.0,7090.0,S3,T,F,468,ShADadTgft,71,81714,36,8103,,6,0
1558342583.958906,CHo7t312F52wCyomvd,192.168.0.24,35057,223.39.123.191,443,tcp,ssl,5.769056,74971.0,7090.0,S3,T,F,0,ShADadTf,69,79211,47,8974,,6,0
1558342600.878155,CYBWLm3mNo8nsW6kFe,192.168.0.24,36294,223.39.118.176,443,tcp,ssl,10.614263,949.0,7122.0,S3,T,F,0,ShADadft,13,1489,13,7683,,6,0
1558342874.842284,CrEIKi4SF1ymgOxq5,192.168.0.24,51078,104.70.122.58,443,tcp,,,,,OTH,T,F,0,^d,0,0,1,1500,,6,0
1558342579.899607,C98q6q2agfScU5DCDf,192.168.0.13,33397,3.0.230.212,8820,tcp,,270.248112,20.0,20.0,OTH,T,F,0,DdA,19,778,9,378,,6,0
1558342666.029678,CQqsfF1YaTREMLLVq8,192.168.0.13,9020,192.168.0.16,63096,tcp,,,,,OTH,T,T,0,D,1,82,0,0,,6,0
1558342654.165174,CjBB5pqaX6uM3OeMj,192.168.0.24,50966,104.70.122.58,443,tcp,,220.695735,11516.0,3728914.0,OTH,T,F,0,DdAtttT,548,39795,3169,4689023,,6,0
1558342596.518995,CyfSEA16GcclPGsoIg,13.228.233.32,6000,192.168.0.13,47501,udp,,275.36095,528.0,660.0,SF,F,T,0,Dd,12,864,11,968,,17,0
1558342576.761902,CxEpknqCxBhDLXF83,223.39.123.194,8281,192.168.0.24,47192,tcp,,295.225851,59474.0,808.0,OTH,F,T,0,DadT,63,58106,74,3768,,6,0
1558342577.113509,CDGi9s4V8uKHXjcCJg,192.168.0.24,44675,223.39.118.176,443,tcp,ssl,10.269235,949.0,7122.0,S3,T,F,0,ShADadttf,22,1849,28,27488,,6,0
1558342874.841696,CtcXbN20eYHiGfQwi1,192.168.0.24,50966,176.70.122.58,443,tcp,,,,,RSTRH,T,F,0,^qt,0,0,1,1500,,6,0
1558342801.237451,C5LHui1G0MdwLIB8jg,192.168.0.13,9020,192.160.16.16,49784,tcp,,,,,OTH,T,F,0,D,1,1440,0,0,,6,0
1558342875.082143,CxdrQp2r3kQjR7qYO,192.168.0.24,58727,223.39.118.176,443,tcp,ssl,0.534812,949.0,7085.0,S1,T,F,0,ShADadtT,17,1783,18,14223,,6,0
1558342580.425682,Ce86fl1WLAoIo6pS1l,192.168.0.13,9020,192.168.0.16,17016,tcp,,,,,OTH,T,T,0,D,1,1440,0,0,,6,0
1558342866.461608,CKim2L1BUyxcav6M8h,192.168.0.16,49799,192.168.0.13,9020,tcp,,9.487245,192.0,1018596.0,S1,T,T,0,ShADTadtttt,1228,64312,2293,2665168,,6,0
1558342592.939603,C3zFaE1o805QE7g9x2,192.168.0.24,43911,223.39.123.191,443,tcp,ssl,5.285467,1011.0,1150.0,S3,T,F,0,ShADadf,11,1471,10,1554,,6,0
1558342599.461514,CGgWMY3eHH9ieYrYu1,192.168.0.13,9020,192.168.0.16,49783,tcp,,,,,OTH,T,T,0,D,1,1440,0,0,,6,0
